theta_name,theta_d_dir,run,seed,n,treated_proportion,model,val_frac,n_train,n_val,mse,rmse
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,gnn,0.3,1404,596,1.729833938087931,1.3152315150147258
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",1,123,2000,0.646,dirgnn,0.3,1404,596,2.0798323464987067,1.442162385620533
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,gnn,0.3,1404,596,2.121234612592763,1.456445883853143
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",2,124,2000,0.607,dirgnn,0.3,1404,596,2.6829758969033217,1.6379792113770315
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,gnn,0.3,1405,595,2.160249032443402,1.4697785657858131
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",3,125,2000,0.5935,dirgnn,0.3,1405,595,2.775955949112683,1.6661200284231275
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,gnn,0.3,1402,598,1.9435811243251357,1.3941237837169036
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",4,126,2000,0.6415,dirgnn,0.3,1402,598,2.7273364856694062,1.6514649513899489
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,gnn,0.3,1403,597,2.0405783899281547,1.428488148333109
balanced_custom,"(-1.0, 1.0, 0.0, 1.0, 0.0, 1.0)",5,127,2000,0.634,dirgnn,0.3,1403,597,2.280270039148012,1.510056303303957
